SchemaName	TableName	ColumnID	ColumnName	DataType	MaxLength	IsNullable	IsIdentity	IsPrimaryKey	DefaultValue
dbo	__EFMigrationsHistory	1	MigrationId	nvarchar	300	0	0	1	NULL
dbo	__EFMigrationsHistory	2	ProductVersion	nvarchar	64	0	0	0	NULL
dbo	AbpUsers	1	Id	bigint	8	0	1	0	NULL
dbo	AbpUsers	2	CreationTime	datetime2	8	0	0	0	NULL
dbo	AbpUsers	3	Name	nvarchar	128	0	0	0	NULL
dbo	AbpUsers	4	TenantId	int	4	1	0	0	NULL
dbo	AbpUsers	5	UserName	nvarchar	512	0	0	0	NULL
dbo	AbpUsers	6	IsActive	bit	1	0	0	0	NULL
dbo	Accidents	1	Id	int	4	0	1	0	NULL
dbo	Accidents	2	CreationTime	datetime2	8	0	0	0	NULL
dbo	Accidents	3	CreatorUserId	bigint	8	1	0	0	NULL
dbo	Accidents	4	LastModificationTime	datetime2	8	1	0	0	NULL
dbo	Accidents	5	LastModifierUserId	bigint	8	1	0	0	NULL
dbo	Accidents	6	IsDeleted	bit	1	0	0	0	NULL
dbo	Accidents	7	DeleterUserId	bigint	8	1	0	0	NULL
dbo	Accidents	8	DeletionTime	datetime2	8	1	0	0	NULL
dbo	Accidents	9	Number	nvarchar	-1	1	0	0	NULL
dbo	Accidents	10	AccidentDate	datetime2	8	0	0	0	NULL
dbo	Accidents	11	AnnouncementDate	datetime2	8	0	0	0	NULL
dbo	Accidents	12	VehicleId	int	4	0	0	0	NULL
dbo	Accidents	13	CountryId	int	4	0	0	0	NULL
dbo	Accidents	14	CityId	int	4	0	0	0	NULL
dbo	Accidents	15	ReferenceTypeId	int	4	1	0	0	NULL
dbo	Accidents	16	ReferenceId	int	4	1	0	0	NULL
dbo	Accidents	17	ReferenceNumber	nvarchar	-1	1	0	0	NULL
dbo	Accidents	18	StatusId	int	4	0	0	0	NULL
dbo	Accidents	19	ReportSourceId	int	4	0	0	0	NULL
dbo	Accidents	20	Description	nvarchar	-1	1	0	0	NULL
dbo	Accidents	21	TenantId	int	4	0	0	0	NULL
dbo	Accidents	22	RowVersion	bigint	8	1	0	0	NULL
dbo	Accidents	23	AccidentPolicyId	int	4	0	0	0	NULL
dbo	Accidents	24	EmployeeId	int	4	1	0	0	NULL
dbo	Accidents	25	Guid	uniqueidentifier	16	0	0	0	NULL
dbo	Accidents	26	SourceBranchId	int	4	1	0	0	NULL
dbo	ActiveContractsPerBranch	1	BranchId	int	4	1	0	0	NULL
dbo	ActiveContractsPerBranch	2	ActiveContracts	int	4	1	0	0	NULL
dbo	ActiveContractsPerBranch	3	CreatedIndvContracts	int	4	1	0	0	NULL
dbo	ActiveContractsPerBranch	4	ClosedIndebtIndvContracts	int	4	1	0	0	NULL
dbo	ActiveContractsPerBranch	5	ClosedPaidIndvContracts	int	4	1	0	0	NULL
dbo	ActiveContractsPerBranch	6	ClosedPendingIndvContracts	int	4	1	0	0	NULL
dbo	ActiveContractsPerBranch	7	ClosedTotalIndvContracts	int	4	1	0	0	NULL
dbo	Bookings	1	id	int	4	0	0	0	NULL
dbo	Bookings	2	BranchId	int	4	0	0	0	NULL
dbo	Bookings	3	DriverId	int	4	1	0	0	NULL
dbo	Bookings	5	CorporateId	uniqueidentifier	16	1	0	0	NULL
dbo	Bookings	6	SourceId	int	4	0	0	0	NULL
dbo	Bookings	7	PickupBranchId	int	4	0	0	0	NULL
dbo	Bookings	8	PickupDate	datetimeoffset	10	1	0	0	NULL
dbo	Bookings	9	DropoffBranchId	int	4	0	0	0	NULL
dbo	Bookings	10	DropoffDate	datetimeoffset	10	1	0	0	NULL
dbo	Bookings	11	BookingTypeId	int	4	0	0	0	NULL
dbo	Bookings	12	StatusId	bigint	8	0	0	0	NULL
dbo	Bookings	13	TotalPaidAmount	decimal	9	1	0	0	NULL
dbo	Bookings	14	TotalDueAmount	decimal	9	1	0	0	NULL
dbo	Bookings	15	ModelId	int	4	0	0	0	NULL
dbo	Bookings	16	Year	int	4	0	0	0	NULL
dbo	Bookings	17	RowVersion	bigint	8	1	0	0	NULL
dbo	Bookings	18	CreationTime	datetime	8	1	0	0	NULL
dbo	Bookings	19	TenantId	int	4	1	0	0	NULL
dbo	Bookings	20	LastStatusUpdatedOn	datetime	8	1	0	0	NULL
dbo	Bookings	21	BookingNumber	nvarchar	100	1	0	0	NULL
dbo	Branches	1	BranchID	int	4	0	0	0	NULL
dbo	Branches	2	BranchName	nvarchar	-1	0	0	0	NULL
dbo	Branches	3	BranchIsActive	bit	1	0	0	0	NULL
