SchemaName	TableName	ColumnID	ColumnName	DataType	MaxLength	IsNullable	IsIdentity	IsPrimaryKey	DefaultValue
Archive	dbo_RmqIntegrationEvents	1	Id	int	4	0	1	1	NULL
Archive	dbo_RmqIntegrationEvents	2	EventId	uniqueidentifier	16	0	0	0	NULL
Archive	dbo_RmqIntegrationEvents	3	EventBody	nvarchar	-1	0	0	0	NULL
Archive	dbo_RmqIntegrationEvents	4	RaisingDate	datetimeoffset	10	0	0	0	NULL
Archive	dbo_RmqIntegrationEvents	5	PublishingDate	datetimeoffset	10	1	0	0	NULL
Archive	dbo_RmqIntegrationEvents	6	CreateDate	datetimeoffset	10	0	0	0	NULL
Archive	dbo_RmqIntegrationEvents	8	IsPublished	bit	1	0	0	0	NULL
Archive	dbo_RmqIntegrationEvents	9	EventDestinationConfigurationKey	nvarchar	-1	0	0	0	NULL
Archive	dbo_RmqIntegrationEvents	10	EventGuid	uniqueidentifier	16	0	0	0	('00000000-0000-0000-0000-000000000000')
Archive	dbo_RmqIntegrationEvents	11	EventDefinitionId	bigint	8	0	0	0	(CONVERT([bigint],(0)))
Archive	dbo_WebhookIntegrationEvents	1	Id	int	4	0	0	1	NULL
Archive	dbo_WebhookIntegrationEvents	2	EventId	uniqueidentifier	16	0	0	0	NULL
Archive	dbo_WebhookIntegrationEvents	3	EventBody	nvarchar	-1	0	0	0	NULL
Archive	dbo_WebhookIntegrationEvents	4	RaisingDate	datetimeoffset	10	0	0	0	NULL
Archive	dbo_WebhookIntegrationEvents	5	PublishingDate	datetimeoffset	10	1	0	0	NULL
Archive	dbo_WebhookIntegrationEvents	6	CreateDate	datetimeoffset	10	0	0	0	NULL
Archive	dbo_WebhookIntegrationEvents	7	IsPublished	bit	1	0	0	0	NULL
Archive	dbo_WebhookIntegrationEvents	8	EventDefinitionId	bigint	8	0	0	0	NULL
Archive	dbo_WebhookIntegrationEvents	9	EventDestinationConfigurationKey	nvarchar	-1	0	0	0	NULL
Archive	dbo_WebhookIntegrationEvents	10	EventGuid	uniqueidentifier	16	0	0	0	NULL
Cache	Invoice_Individual	1	InvoiceId	int	4	0	0	1	NULL
Cache	Invoice_Individual	2	TenantId	int	4	0	0	0	NULL
Cache	Invoice_Individual	3	CountryId	int	4	1	0	0	NULL
Cache	Invoice_Individual	4	CustomerId	int	4	1	0	0	NULL
Cache	Invoice_Individual	5	PickupBranchId	int	4	1	0	0	NULL
Cache	Invoice_Individual	6	IsLite	bit	1	1	0	0	NULL
Cache	Invoice_Individual	7	RowVersion	bigint	8	0	0	1	NULL
Cache	Invoice_Individual	8	IsVoucherReference	bit	1	1	0	0	NULL
Cache	Invoice_Individual	9	CreationTime	datetime2	8	1	0	0	NULL
Cache	Invoice_Individual	10	IsValid	bit	1	1	0	0	NULL
Cache	Invoice_Individual	11	FranchiseId	uniqueidentifier	16	1	0	0	NULL
Cache	Invoice_Individual	12	IntegrationFlag	bigint	8	1	0	0	NULL
Cache	Invoice_Individual	13	SettlementUnitPrice	decimal	9	1	0	0	NULL
Cache	Invoice_Individual	14	SettlementTaxAmount	decimal	9	1	0	0	NULL
Cache	Invoice_Individual	15	IsOldSystemContract	bit	1	1	0	0	NULL
Cache	Invoice_IndividualLog	1	InvoiceId	int	4	1	0	0	NULL
Cache	Invoice_IndividualLog	2	InvoiceExistsInTable	bit	1	1	0	0	NULL
Cache	Invoice_IndividualLog	3	CTEReturnedResult	bit	1	1	0	0	NULL
Cache	Invoice_IndividualLog	4	CreationDate	datetime2	8	1	0	0	NULL
Collections	Auditor	1	UserId	bigint	8	0	0	1	NULL
Collections	Auditor	2	Name	nvarchar	-1	0	0	0	NULL
Collections	CollectionEvidences	1	Id	int	4	0	1	1	NULL
Collections	CollectionEvidences	2	EvidenceTypeId	int	4	0	0	0	NULL
