feature,dtype,null_count,null_pct
Id,int64,0,0.0
ContractNumber,object,0,0.0
CreationTime,datetime64[ns],0,0.0
Start,datetime64[ns],0,0.0
End,datetime64[ns],0,0.0
ActualDropOffDate,datetime64[ns],9527,0.38358033002322334
StatusId,int64,0,0.0
FinancialStatusId,float64,102108,4.111117910991004
VehicleId,float64,283,0.01139427242537758
PickupBranchId,int64,0,0.0
DropoffBranchId,int64,0,0.0
CustomerId,int64,0,0.0
DailyRateAmount,float64,9528,0.38362059246995617
MonthlyRateAmount,float64,2474176,99.61637940753005
CurrencyId,int64,0,0.0
RentalRateId,float64,307082,12.36387266759646
BookingId,float64,1359250,54.726730721535255
TenantId,int64,0,0.0
Discriminator,object,0,0.0
DayOfWeek,int32,0,0.0
Month,int32,0,0.0
Quarter,int32,0,0.0
IsWeekend,int32,0,0.0
ContractDurationDays,int64,0,0.0
Id_branch,int64,0,0.0
CityId,int64,0,0.0
CountryId,int64,0,0.0
IsAirport,bool,0,0.0
Id_vehicle,float64,283,0.01139427242537758
ModelId,float64,283,0.01139427242537758
Year,float64,283,0.01139427242537758
day_of_week,int64,0,0.0
month,int64,0,0.0
quarter,int64,0,0.0
is_weekend,int32,0,0.0
is_holiday,int32,0,0.0
holiday_name,object,0,0.0
holiday_type,object,0,0.0
holiday_duration,int32,0,0.0
is_school_vacation,int32,0,0.0
is_ramadan,int64,0,0.0
is_umrah_season,int64,0,0.0
umrah_season_intensity,object,1357775,54.667343612604405
is_major_event,int32,0,0.0
event_name,object,0,0.0
event_city,object,0,0.0
event_category,object,0,0.0
is_hajj,int64,0,0.0
is_festival,int64,0,0.0
is_sports_event,int64,0,0.0
days_to_holiday,int32,0,0.0
days_from_holiday,int32,0,0.0
